gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.6032315978456014,0.5371702637889688,0.5682875264270613,1251
6,closed fist,0.8876221498371335,0.8489096573208723,0.8678343949044586,1284
9,forearm supination,0.523327712197864,0.6125,0.5644134586238254,1520
10,forearm pronation,0.5565583634175691,0.6410256410256411,0.5958132045088567,1443
13,wrist flexion,0.7166910688140556,0.6597035040431267,0.6870175438596491,1484
14,wrist extension,0.707638279192274,0.6171516079632465,0.6593047034764826,1306
macro,macro avg,0.665844861884083,0.6527434456903093,0.6571118053000556,8288
