gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.7186046511627907,0.7410071942446043,0.7296340023612751,1251
6,closed fist,0.8995327102803738,0.8995327102803738,0.8995327102803738,1284
9,forearm supination,0.6507731958762887,0.6644736842105263,0.6575520833333334,1520
10,forearm pronation,0.6401644962302947,0.6472626472626473,0.6436940041350793,1443
13,wrist flexion,0.747599451303155,0.7345013477088949,0.7409925220938137,1484
14,wrist extension,0.7461847389558233,0.7113323124042878,0.7283418267346139,1306
macro,macro avg,0.733809873968121,0.7330183160185557,0.7332911914897483,8288
