gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.6078588612670409,0.6059152677857714,0.6068855084067254,1251
6,closed fist,0.8536964980544747,0.8543613707165109,0.8540288049824835,1284
9,forearm supination,0.5399239543726235,0.5605263157894737,0.5500322788896062,1520
10,forearm pronation,0.5219101123595505,0.6437976437976438,0.5764815389388768,1443
13,wrist flexion,0.7229002153625269,0.6785714285714286,0.700034758428919,1484
14,wrist extension,0.699502487562189,0.5382848392036753,0.608394634357421,1306
macro,macro avg,0.657632021496401,0.6469094776440839,0.6493095873340053,8288
