config,model,smoothing,latency_ms,accuracy,gain_pts,macro_f1
320ms_trim,ExtraTrees,none,0.0,0.8323582812184789,0.0,0.8367056078903881
320ms_trim,ExtraTrees,causal_vote_3,320.0,0.8464797256405083,1.412144442202945,0.8506100499317263
320ms_trim,ExtraTrees,causal_vote_5,640.0,0.8668549525922937,3.4496671373814847,0.870219904608356
320ms_trim,ExtraTrees,causal_vote_7,960.0,0.8898527335081703,5.749445228969141,0.8927527806424997
320ms_trim,ExtraTrees,oracle_repetition,,0.9691345571918499,13.677627597337105,0.9698429547997797
320ms_trim,HistGB,none,0.0,0.8162194875933024,0.0,0.8193631306465532
320ms_trim,HistGB,causal_vote_3,320.0,0.8432519669154731,2.7032479322170677,0.8458581080525543
320ms_trim,HistGB,causal_vote_5,640.0,0.8674601573532379,5.124066975993546,0.8699349872864616
320ms_trim,HistGB,causal_vote_7,960.0,0.8944926366754085,7.827314908210603,0.8959624364374261
320ms_trim,HistGB,oracle_repetition,,0.9808351825701029,16.461569497680053,0.9813455268879786
