gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.5990990990990991,0.6378896882494005,0.6178861788617886,1251
6,closed fist,0.9407603890362511,0.8286604361370716,0.881159420289855,1284
9,forearm supination,0.5182863113897597,0.6526315789473685,0.5777518928363424,1520
10,forearm pronation,0.5560640732265446,0.6735966735966736,0.6092134127232842,1443
13,wrist flexion,0.8064777327935223,0.6711590296495957,0.7326222876057374,1484
14,wrist extension,0.7844827586206896,0.557427258805513,0.6517457475380484,1306
macro,macro avg,0.7008617273609777,0.670227444230937,0.6783964899758427,8288
