gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.4916420845624385,0.3996802557953637,0.4409171075837742,1251
6,closed fist,0.6843283582089552,0.7141744548286605,0.6989329268292683,1284
9,forearm supination,0.37945715806279934,0.46907894736842104,0.4195351573992351,1520
10,forearm pronation,0.3909145248057382,0.45322245322245325,0.4197689345314506,1443
13,wrist flexion,0.4002808988764045,0.38409703504043125,0.3920220082530949,1484
14,wrist extension,0.4397905759162304,0.3215926493108729,0.3715170278637771,1306
macro,macro avg,0.46440226673876106,0.4569742992610337,0.45711552707676667,8288
