feature,importance
ch07_mav,0.028442118476052176
ch07_wl,0.025613961596702345
ch07_iemg,0.022497147480599035
ch07_var,0.019267391063396415
ch09_mav,0.017068265992586026
ch09_iemg,0.015562647404935808
ch09_rms,0.015313458092299326
ch07_rms,0.015085006970818708
ch09_wl,0.01469441379897906
ch02_mav,0.014662014983040362
ch13_iemg,0.014293155270716671
ch02_iemg,0.013983500016534832
ch02_var,0.013840979578639995
ch13_mav,0.013506229203276455
ch02_wl,0.013370092213118663
ch09_var,0.01321075870177083
ch13_rms,0.013114071461897055
ch14_mav,0.012681353267036684
ch08_rms,0.012675501697180245
ch14_iemg,0.0125998978309651
ch08_mav,0.012525539842712463
ch14_wl,0.012448136130556241
ch04_rms,0.011947864382309372
ch12_mav,0.01174231657711743
ch04_iemg,0.011693296969487383
ch01_rms,0.011649083769525044
ch14_rms,0.011558359966389186
ch13_var,0.011378432455549868
ch11_mav,0.011322317687042586
ch01_iemg,0.011312446361396312
ch01_mav,0.011270089168708652
ch12_rms,0.011230254981093828
ch04_var,0.011213625098510555
ch04_mav,0.011118558477091684
ch12_iemg,0.011048637213113922
ch08_wl,0.011018050611820474
ch08_iemg,0.01084164578693372
ch12_var,0.010807043107093111
ch04_wl,0.010713143710902437
ch02_rms,0.010663805009311357
ch11_iemg,0.010461757043203276
ch14_var,0.010435744311341916
ch08_var,0.01042789260749196
ch13_wl,0.010373936550096028
ch11_rms,0.010196367935249433
ch11_var,0.009871195877494417
ch01_var,0.009647304843810977
ch12_wl,0.009633242131650802
ch11_wl,0.00937635955587549
ch01_wl,0.009375933132426968
ch03_mav,0.008554226497202838
ch03_rms,0.008551593576275694
ch03_var,0.00838530366623354
ch05_mav,0.008375881461712767
ch05_var,0.008116882544800655
ch10_rms,0.008034481843409729
ch03_iemg,0.008030124907330613
ch05_iemg,0.007956112135796204
ch05_rms,0.007943359845845842
ch06_var,0.007610499817252626
ch05_wl,0.007342019012802493
ch10_wl,0.007256547288723193
ch10_iemg,0.007245403494143475
ch10_var,0.007208111958695871
ch00_var,0.007169539648265598
ch03_wl,0.007152770505528077
ch15_wl,0.007141268767285322
ch15_mav,0.007118588037901878
ch00_wl,0.00710716344357696
ch00_mav,0.0070433157663097965
ch00_rms,0.007012742625756455
ch06_iemg,0.006913129475956363
ch10_mav,0.006904123410803212
ch00_iemg,0.006814480760021581
ch15_rms,0.006765515104712483
ch06_mav,0.0065976201336284
ch15_var,0.006444458782794097
ch15_iemg,0.006301071862283566
ch06_rms,0.006224998684315167
ch06_wl,0.005994591968575302
ch02_skew,0.0035949206252900764
ch12_kurt,0.002964087657670985
ch10_skew,0.0028109263630952
ch04_skew,0.002750846546031359
ch06_kurt,0.0027495120233770303
ch02_kurt,0.002697508177539657
ch14_kurt,0.002676435665689744
ch03_skew,0.0026668746376356596
ch05_skew,0.002629702448269447
ch13_kurt,0.0025457407661730264
ch01_kurt,0.0025048262997995844
ch15_skew,0.0025025249547327593
ch04_kurt,0.0024983724966066594
ch07_kurt,0.0024645162240084614
ch14_skew,0.0024486439361465083
ch09_kurt,0.002425280441136274
ch11_kurt,0.0024230847757369966
ch05_kurt,0.0024115108697272763
ch09_skew,0.002360745164896601
ch08_kurt,0.00234884383261488
ch11_skew,0.0023465504087268464
ch13_skew,0.0023304211267402026
ch10_kurt,0.0023027938141995993
ch12_skew,0.002290660393472132
ch06_skew,0.0022685150912843833
ch15_kurt,0.00222970608088846
ch01_skew,0.0022097145141972713
ch08_skew,0.002191303229330594
ch13_zc,0.002155373744033188
ch00_skew,0.002137278023314956
ch07_skew,0.00212583777980319
ch03_kurt,0.002101582542445659
ch00_zc,0.0020659673511911796
ch00_kurt,0.002022284315015915
ch15_zc,0.0019354466395769276
ch02_zc,0.0019251466454987612
ch14_zc,0.001838505249824199
ch03_zc,0.0018369817803524009
ch02_ssc,0.0017957704378474357
ch05_zc,0.00179351910737065
ch04_zc,0.0017793943485649513
ch08_zc,0.0017224772406008624
ch11_zc,0.0016876994592664061
ch12_zc,0.001675822749055226
ch06_zc,0.001675754871988605
ch04_ssc,0.0016734598195045566
ch07_zc,0.0016489897656856265
ch09_zc,0.0016461213194855948
ch10_zc,0.0016268441819941015
ch11_ssc,0.0015947986230393399
ch05_ssc,0.0015733976258808238
ch03_ssc,0.0015709919206896147
ch10_ssc,0.001563117910849486
ch14_ssc,0.001553291797652981
ch00_ssc,0.0015511815313779965
ch15_ssc,0.0015083307305411952
ch01_ssc,0.0014976571355223903
ch01_zc,0.0014901887759014279
ch08_ssc,0.0014359175139290628
ch07_ssc,0.0014332565506500054
ch13_ssc,0.0014222156835733521
ch12_ssc,0.0014085741023482003
ch09_ssc,0.0014042774106270647
ch06_ssc,0.0013777033261864941
