gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.6934628975265018,0.627498001598721,0.6588334032731851,1251
6,closed fist,0.931285367825384,0.897196261682243,0.9139230464101546,1284
9,forearm supination,0.6074403109383676,0.7197368421052631,0.658837699488106,1520
10,forearm pronation,0.6302294197031039,0.6472626472626473,0.6386324786324786,1443
13,wrist flexion,0.7503566333808844,0.7088948787061995,0.729036729036729,1484
14,wrist extension,0.7414910858995137,0.7006125574272588,0.7204724409448819,1306
macro,macro avg,0.7257109525456259,0.7168668647970553,0.7199559662975892,8288
