config,model,smoothing,latency_ms,accuracy,gain_pts,macro_f1
320ms,ExtraTrees,none,0.0,0.7598468271334792,0.0,0.7641337862105018
320ms,ExtraTrees,causal_vote_3,320.0,0.7821389496717724,2.229212253829327,0.7857264735145405
320ms,ExtraTrees,causal_vote_5,640.0,0.8100382932166302,5.019146608315106,0.8135071941564537
320ms,ExtraTrees,causal_vote_7,960.0,0.8386214442013129,7.877461706783373,0.8418308876905306
320ms,ExtraTrees,oracle_repetition,,0.9681345733041575,20.828774617067836,0.969495579029668
320ms,HistGB,none,0.0,0.724972647702407,0.0,0.7292268075160081
320ms,HistGB,causal_vote_3,320.0,0.7562910284463895,3.131838074398252,0.7591748617144285
320ms,HistGB,causal_vote_5,640.0,0.7945842450765864,6.961159737417944,0.7978674226437187
320ms,HistGB,causal_vote_7,960.0,0.836843544857768,11.187089715536104,0.8399712450282113
320ms,HistGB,oracle_repetition,,0.9647155361050328,23.97428884026258,0.9660052917775762
