gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.6114701130856219,0.6051159072741806,0.6082764162314183,1251
6,closed fist,0.8506191950464397,0.8559190031152648,0.8532608695652174,1284
9,forearm supination,0.5416141235813366,0.5651315789473684,0.553122987765615,1520
10,forearm pronation,0.5158951477969883,0.6410256410256411,0.5716934487021014,1443
13,wrist flexion,0.7242620590352772,0.6778975741239892,0.7003132613992342,1484
14,wrist extension,0.7111111111111111,0.5390505359877489,0.6132404181184669,1306
macro,macro avg,0.6591619582761291,0.6473567067456988,0.6499845669636755,8288
