model,normalisation,mean,std,min,max,within_subject,degradation_pts,meets_8pt_target
ExtraTrees,raw,0.35754078241711684,0.126980206023007,0.12577833125778332,0.5495376486129459,0.8138272200772201,45.62864376601033,False
ExtraTrees,subject_norm,0.46727039199009734,0.1319391003740448,0.24782067247820672,0.6512549537648613,0.8138272200772201,34.65568280871227,False
LDA,raw,0.3423888072481672,0.10480511375242323,0.217787913340935,0.4966974900924703,0.5384893822393823,19.610057499121503,False
LDA,subject_norm,0.43196625589050947,0.1358278478688715,0.22415940224159403,0.5945303210463734,0.5384893822393823,10.652312634887279,False
RF,raw,0.36009046802363304,0.1379790322318066,0.1569115815691158,0.5970937912813739,0.8064671814671814,44.63767134435484,False
RF,subject_norm,0.45529141367592335,0.13359697730983888,0.26525529265255293,0.6499339498018494,0.8064671814671814,35.117576779125805,False
SVM,raw,0.3595964078004161,0.12894819159614296,0.1432129514321295,0.5733157199471598,0.6234314671814671,26.383505938105106,False
SVM,subject_norm,0.4338213300642372,0.13084532083580144,0.22166874221668742,0.618229854689564,0.6234314671814671,18.961013711722995,False
