gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.5889520714865962,0.5795363709032774,0.5842062852538276,1251
6,closed fist,0.9176161262050833,0.8154205607476636,0.8635051546391752,1284
9,forearm supination,0.4716609167077378,0.6296052631578948,0.5393068469991547,1520
10,forearm pronation,0.472,0.5724185724185724,0.517381772627623,1443
13,wrist flexion,0.7639123102866779,0.610512129380054,0.6786516853932584,1484
14,wrist extension,0.6813880126182965,0.49617151607963245,0.5742135578201152,1306
macro,macro avg,0.6492549062173986,0.6172774021145158,0.626210883788859,8288
