gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.7707006369426752,0.7737809752198241,0.7722377343438372,1251
6,closed fist,0.9691307879772543,0.9291277258566978,0.9487077534791253,1284
9,forearm supination,0.6985880908532842,0.7486842105263158,0.7227691330581136,1520
10,forearm pronation,0.7150916784203103,0.7027027027027027,0.7088430618664803,1443
13,wrist flexion,0.7815126050420168,0.7520215633423181,0.7664835164835165,1484
14,wrist extension,0.7496229260935143,0.7611026033690659,0.7553191489361702,1306
macro,macro avg,0.7807744542215093,0.7779032968361541,0.7790600580278739,8288
