model,in_synopsis,cv_mean,cv_std,macro_f1,canonical_acc,best_params
ExtraTrees,False,0.8306419955736617,0.023999261236997704,0.8335594135574832,0.8467126770795496,"{'clf__max_depth': None, 'clf__n_estimators': 300}"
RF,True,0.8049795734639187,0.029561621038215503,0.8079129346824736,0.8038503450780966,"{'clf__max_depth': 20, 'clf__n_estimators': 300}"
SVM,True,0.7297715712108086,0.029227976221173808,0.7332911914897483,0.7210316018888485,"{'clf__C': 100, 'clf__gamma': 0.01}"
LDA,True,0.6145154307751153,0.042327058299538714,0.624678576410588,0.6160552124954595,{}
