config,model,smoothing,latency_ms,accuracy,gain_pts,macro_f1
trim_td,ExtraTrees,none,0.0,0.8302364864864865,0.0,0.8335594135574832
trim_td,ExtraTrees,vote_3,200.0,0.8442326254826255,1.399613899613894,0.8469824272570605
trim_td,ExtraTrees,proba_3,200.0,0.8575048262548263,2.7268339768339755,0.8604162060384719
trim_td,ExtraTrees,vote_5,400.0,0.8626930501930502,3.245656370656369,0.865374370674299
trim_td,ExtraTrees,proba_5,400.0,0.880550193050193,5.031370656370648,0.8833034381934164
trim_td,ExtraTrees,vote_7,600.0,0.8760859073359073,4.584942084942078,0.8787199841492169
trim_td,ExtraTrees,proba_7,600.0,0.897442084942085,6.720559845559848,0.8996609487301822
trim_td,ExtraTrees,oracle_repetition,0.0,0.9809362934362934,15.06998069498069,0.9814426003852228
trim_td,HistGB,none,0.0,0.813465250965251,0.0,0.8168276976812076
trim_td,HistGB,vote_3,200.0,0.8380791505791506,2.4613899613899592,0.8411999796992388
trim_td,HistGB,proba_3,200.0,0.847007722007722,3.354247104247099,0.8499901493549308
trim_td,HistGB,vote_5,400.0,0.8638996138996139,5.0434362934362875,0.8666085284777849
trim_td,HistGB,proba_5,400.0,0.8737934362934363,6.0328185328185295,0.8765744152575631
trim_td,HistGB,vote_7,600.0,0.8821187258687259,6.865347490347484,0.8843227233261839
trim_td,HistGB,proba_7,600.0,0.8928571428571429,7.939189189189189,0.8950077586283318
trim_td,HistGB,oracle_repetition,0.0,0.9843146718146718,17.084942084942078,0.9847321235930094
