gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.82421875,0.8433253397282174,0.8336625839589096,1251
6,closed fist,0.9603174603174603,0.942367601246106,0.9512578616352201,1284
9,forearm supination,0.77269800386349,0.7894736842105263,0.780995769606248,1520
10,forearm pronation,0.771180787191461,0.8011088011088011,0.7858599592114208,1443
13,wrist flexion,0.8688524590163934,0.8214285714285714,0.8444752338067197,1484
14,wrist extension,0.8499613302397525,0.8415007656967841,0.8457098884186226,1306
macro,macro avg,0.8412047984380929,0.8398674605698345,0.8403268827728567,8288
