gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.587327376116978,0.5779376498800959,0.5825946817082998,1251
6,closed fist,0.9184925503943909,0.8161993769470405,0.8643298969072165,1284
9,forearm supination,0.47116806308526366,0.6289473684210526,0.5387433079740772,1520
10,forearm pronation,0.4742268041237113,0.5738045738045738,0.5192850423330198,1443
13,wrist flexion,0.7632241813602015,0.612533692722372,0.6796261682242991,1484
14,wrist extension,0.6831578947368421,0.49693721286370596,0.575354609929078,1306
macro,macro avg,0.6495994783028979,0.6177266457731401,0.6266556178459984,8288
