arm,n_features,accuracy,macro_f1,delta_vs_full_pts,within_2pts
TD,144,0.7923503861003861,0.7961162106380658,1.0738416988417043,True
FD,64,0.2702702702702703,0.261028836579253,-51.13416988416988,False
DWT,64,0.27859555984555984,0.2702775766126259,-50.30164092664092,False
TD+FD,208,0.7915057915057915,0.7955055093522825,0.9893822393822416,True
TD+FD+DWT,272,0.7816119691119691,0.786088345155032,0.0,True
