gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.7317345231455661,0.7208791208791209,0.7262662607251591,1820
6,closed fist,0.8790849673202614,0.864951768488746,0.8719611021069692,1866
9,forearm supination,0.6505976095617529,0.736248872858431,0.6907783417935702,2218
10,forearm pronation,0.6530805687203791,0.6580706781279847,0.6555661274976213,2094
13,wrist flexion,0.7367901234567901,0.6920222634508348,0.7137048552977756,2156
14,wrist extension,0.7090807174887892,0.664390756302521,0.6860086767895879,1904
macro,macro avg,0.7267280849489232,0.7227605766846065,0.7240475607017806,12058
