model_a,model_b,mean_a,mean_b,statistic,p_value,significant
LDA,SVM,0.5267139182260686,0.5731409535490867,0.0,0.001953125,True
LDA,RF,0.5267139182260686,0.7212078958106612,0.0,0.001953125,True
LDA,ExtraTrees,0.5267139182260686,0.7420925226103562,0.0,0.001953125,True
SVM,RF,0.5731409535490867,0.7212078958106612,0.0,0.001953125,True
SVM,ExtraTrees,0.5731409535490867,0.7420925226103562,0.0,0.001953125,True
RF,ExtraTrees,0.7212078958106612,0.7420925226103562,2.0,0.005859375,True
