model_a,model_b,mean_a,mean_b,statistic,p_value,significant
LDA,SVM,0.6704820030965016,0.7707388152886719,0.0,0.001953125,True
LDA,RF,0.6704820030965016,0.8185548663623672,0.0,0.001953125,True
LDA,ExtraTrees,0.6704820030965016,0.8385643824845633,0.0,0.001953125,True
SVM,RF,0.7707388152886719,0.8185548663623672,0.0,0.001953125,True
SVM,ExtraTrees,0.7707388152886719,0.8385643824845633,0.0,0.001953125,True
RF,ExtraTrees,0.8185548663623672,0.8385643824845633,0.0,0.001953125,True
