gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.49534450651769085,0.42525979216626697,0.45763440860215054,1251
6,closed fist,0.6775336640680368,0.7445482866043613,0.7094619666048237,1284
9,forearm supination,0.3643448611787628,0.4921052631578947,0.4186957738595018,1520
10,forearm pronation,0.4011834319526627,0.4698544698544699,0.4328120012767316,1443
13,wrist flexion,0.45844044558697516,0.3605121293800539,0.4036212749905696,1484
14,wrist extension,0.47032474804031354,0.3215926493108729,0.3819918144611187,1306
macro,macro avg,0.4778619428907403,0.46897876507898656,0.46736953996581604,8288
