config,model,smoothing,latency_ms,accuracy,gain_pts,macro_f1
nopp,ExtraTrees,none,0.0,0.8423021235521235,0.0,0.845962991936744
nopp,ExtraTrees,vote_3,200.0,0.8570222007722008,1.4720077220077288,0.8603435912496007
nopp,ExtraTrees,proba_3,200.0,0.870777027027027,2.8474903474903446,0.8739272482872598
nopp,ExtraTrees,vote_5,400.0,0.8730694980694981,3.0767374517374546,0.8763593468992381
nopp,ExtraTrees,proba_5,400.0,0.8897200772200772,4.741795366795365,0.8923175207236689
nopp,ExtraTrees,vote_7,600.0,0.8887548262548263,4.645270270270274,0.8915164920323663
nopp,ExtraTrees,proba_7,600.0,0.9078185328185329,6.551640926640934,0.9099156574327889
nopp,ExtraTrees,oracle_repetition,0.0,0.9881756756756757,14.587355212355213,0.9882973515672165
nopp,HistGB,none,0.0,0.8312017374517374,0.0,0.834681717011582
nopp,HistGB,vote_3,200.0,0.8530405405405406,2.183880308880315,0.8558362706533793
nopp,HistGB,proba_3,200.0,0.8681225868725869,3.69208494208495,0.8710348782226806
nopp,HistGB,vote_5,400.0,0.8768098455598455,4.560810810810811,0.879506314654534
nopp,HistGB,proba_5,400.0,0.8908059845559846,5.960424710424716,0.8932220852400966
nopp,HistGB,vote_7,600.0,0.8980453667953668,6.684362934362942,0.9002542706480758
nopp,HistGB,proba_7,600.0,0.9107142857142857,7.951254826254828,0.9125762523624421
nopp,HistGB,oracle_repetition,0.0,0.9937258687258688,16.252413127413135,0.993690319869642
