config,model,smoothing,latency_ms,accuracy,gain_pts,macro_f1
trim,ExtraTrees,none,0.0,0.8093629343629344,0.0,0.8135953429046623
trim,ExtraTrees,vote_3,200.0,0.823238416988417,1.387548262548266,0.8272542280828876
trim,ExtraTrees,proba_3,200.0,0.8350627413127413,2.569980694980689,0.8391323733281437
trim,ExtraTrees,vote_5,400.0,0.8367519305019305,2.7388996138996147,0.8404412179864714
trim,ExtraTrees,proba_5,400.0,0.85871138996139,4.934845559845558,0.8619115000071131
trim,ExtraTrees,vote_7,600.0,0.8509893822393823,4.162644787644787,0.8543690885240997
trim,ExtraTrees,proba_7,600.0,0.8764478764478765,6.7084942084942085,0.8789880664150802
trim,ExtraTrees,oracle_repetition,0.0,0.9791264478764479,16.976351351351347,0.979562666165875
trim,HistGB,none,0.0,0.8033301158301158,0.0,0.8068853522274916
trim,HistGB,vote_3,200.0,0.8268581081081081,2.3527992277992293,0.8299624374578988
trim,HistGB,proba_3,200.0,0.8415781853281853,3.824806949806947,0.8447234889013928
trim,HistGB,vote_5,400.0,0.8534025096525096,5.007239382239382,0.8563054353678513
trim,HistGB,proba_5,400.0,0.868484555984556,6.515444015444016,0.8713658408651327
trim,HistGB,vote_7,600.0,0.8723455598455598,6.901544401544402,0.8749682247974785
trim,HistGB,proba_7,600.0,0.8898407335907336,8.651061776061775,0.892143991383478
trim,HistGB,oracle_repetition,0.0,0.9845559845559846,18.122586872586876,0.9851151160135528
