gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.7929717341482048,0.829736211031175,0.8109375,1251
6,closed fist,0.9534510433386838,0.9252336448598131,0.9391304347826087,1284
9,forearm supination,0.7449109414758269,0.7703947368421052,0.7574385510996119,1520
10,forearm pronation,0.7272104180945853,0.7352737352737353,0.7312198483804273,1443
13,wrist flexion,0.8238195912614518,0.7877358490566038,0.8053737512917671,1484
14,wrist extension,0.798908807482463,0.7848392036753445,0.7918115102356122,1306
macro,macro avg,0.8068787559668693,0.805535563456463,0.8059852659650044,8288
