gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.7649357900614182,0.7527472527472527,0.7587925782331764,1820
6,closed fist,0.8984461709211987,0.867631296891747,0.8827699018538713,1866
9,forearm supination,0.6599142968445656,0.763751127141569,0.7080459770114943,2218
10,forearm pronation,0.6817538896746818,0.6905444126074498,0.6861209964412811,2094
13,wrist flexion,0.7590361445783133,0.7012987012987013,0.7290260366441659,2156
14,wrist extension,0.7299719887955182,0.6843487394957983,0.7064245052859853,1904
macro,macro avg,0.7490097134792825,0.7433869216970864,0.7451966659116626,12058
