gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.39600920951650037,0.41247002398081534,0.40407204385277995,1251
6,closed fist,0.7665441176470589,0.6495327102803738,0.7032040472175379,1284
9,forearm supination,0.3541033434650456,0.4598684210526316,0.4001144819690899,1520
10,forearm pronation,0.41682974559686886,0.44282744282744285,0.42943548387096775,1443
13,wrist flexion,0.37433561123766135,0.33221024258760107,0.3520171367368797,1484
14,wrist extension,0.385834109972041,0.3169984686064318,0.3480453972257251,1306
macro,macro avg,0.4489426895725293,0.43565121822254943,0.43948143181216337,8288
