gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.40402347024308466,0.3852917665867306,0.3944353518821604,1251
6,closed fist,0.706645056726094,0.6791277258566978,0.6926131850675139,1284
9,forearm supination,0.34057301293900183,0.48486842105263156,0.4001085776330076,1520
10,forearm pronation,0.3978078658929723,0.4275814275814276,0.4121576486305945,1443
13,wrist flexion,0.43962585034013607,0.34838274932614555,0.3887218045112782,1484
14,wrist extension,0.3958762886597938,0.29402756508422667,0.3374340949033392,1306
macro,macro avg,0.44742525746684714,0.4365466092479766,0.43757844377131566,8288
