gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.8359253499222395,0.8593125499600319,0.847457627118644,1251
6,closed fist,0.9615076182838813,0.9338006230529595,0.9474516001580403,1284
9,forearm supination,0.7670206121174266,0.8078947368421052,0.7869272669016341,1520
10,forearm pronation,0.7528619528619529,0.7747747747747747,0.7636612021857924,1443
13,wrist flexion,0.8646508279337654,0.8092991913746631,0.8360598677340759,1484
14,wrist extension,0.828125,0.8116385911179173,0.819798917246713,1306
macro,macro avg,0.8350152268532108,0.8327867445204088,0.8335594135574832,8288
