feature,importance
ch07_mav,0.01729472404075006
ch07_iemg,0.017085270477298388
ch07_rms,0.016519968144215923
ch07_wl,0.01623471719637599
ch14_rms,0.01535386504028787
ch09_iemg,0.015178067069447763
ch09_rms,0.014681195414263453
ch14_mav,0.014479285679322032
ch09_mav,0.014332202588760563
ch09_wl,0.014277057964644516
ch14_wl,0.014041362695152415
ch14_iemg,0.013691997137599549
ch07_var,0.013060959443522247
ch02_wl,0.01287722917552673
ch02_mav,0.012320539758616418
ch02_rms,0.011892418296310893
ch13_iemg,0.011649479617617512
ch04_mav,0.011611655358975171
ch10_rms,0.01159314787238128
ch04_rms,0.011478372223373234
ch10_mav,0.011422504241356922
ch04_iemg,0.011422495598400941
ch02_iemg,0.011364291041366312
ch13_mav,0.01124768914642936
ch04_wl,0.011127583411443188
ch10_iemg,0.010958339996267883
ch05_rms,0.01092749276750731
ch09_var,0.010888776422857217
ch13_rms,0.010768867386731922
ch11_rms,0.010723750980253209
ch05_iemg,0.010717983529771104
ch10_wl,0.010577849289810929
ch05_mav,0.010536646607359366
ch13_wl,0.010315829443089035
ch12_mav,0.010270738182229542
ch02_var,0.010257460544562108
ch06_mav,0.01022804260884312
ch14_var,0.010114551911441241
ch11_iemg,0.010048314229888016
ch05_wl,0.010048276871191414
ch08_mav,0.009965962903399224
ch06_iemg,0.009778509365253317
ch11_wl,0.009755681178592384
ch12_iemg,0.00970497025516209
ch11_mav,0.00964585659116815
ch12_rms,0.00953533021456849
ch08_iemg,0.009505131240387248
ch01_iemg,0.009425455142292413
ch06_rms,0.009413950573464447
ch12_wl,0.009376089376391691
ch01_mav,0.009211401314063599
ch08_rms,0.009189425315851617
ch01_wl,0.009134451763469529
ch04_var,0.009130527077859885
ch03_iemg,0.009092758731380919
ch01_rms,0.009016277794501266
ch03_mav,0.008932967336849985
ch08_wl,0.008901439565622673
ch03_rms,0.008836569708448495
ch06_wl,0.008748300747167306
ch05_var,0.008739299913090255
ch08_var,0.00836018484160544
ch03_wl,0.008348388607181135
ch06_var,0.008335139470412362
ch00_rms,0.008297733059894678
ch00_mav,0.008028174390403998
ch11_var,0.008026552799308069
ch00_iemg,0.008007504830716362
ch13_var,0.007865846246840318
ch01_var,0.007842563226142789
ch10_var,0.007726105154964405
ch00_wl,0.0077077108271548294
ch12_var,0.007551366939038158
ch03_var,0.007467160386715978
ch15_iemg,0.007277266923495018
ch00_var,0.007256418065978695
ch15_mav,0.007169854226755819
ch15_rms,0.006987940174093304
ch15_wl,0.0067498647896892935
ch15_var,0.006042912638586103
ch01_kurt,0.0031335713951729477
ch09_kurt,0.0029971046476131866
ch03_zc,0.0029739652073582454
ch02_kurt,0.002926491205901667
ch12_kurt,0.0029027025793237843
ch02_zc,0.002887618486031263
ch05_kurt,0.0028731495498680155
ch14_kurt,0.0028590017744320587
ch06_kurt,0.002839673532649779
ch08_kurt,0.0027644141431063273
ch13_skew,0.002743294241028665
ch04_skew,0.00273235503823893
ch13_kurt,0.0027318297776153674
ch10_skew,0.0027123588879130545
ch02_skew,0.0027105243414886366
ch03_ssc,0.0026989330721499736
ch07_kurt,0.0026719300723647937
ch04_kurt,0.0026709390033452514
ch14_skew,0.002660149149737323
ch11_kurt,0.002657864670227569
ch02_ssc,0.00265613670071518
ch04_zc,0.0026526710851188916
ch10_kurt,0.002647193924601143
ch00_skew,0.002644656556936346
ch15_zc,0.0026400212602444
ch05_skew,0.0026385345967537507
ch10_zc,0.002630478069604578
ch08_zc,0.0026225931973815246
ch00_zc,0.002611872181492759
ch05_zc,0.002597268583124132
ch03_skew,0.0025969780043067136
ch15_skew,0.002593049005609286
ch01_skew,0.0025917118684822657
ch09_skew,0.0025776125931970505
ch06_skew,0.00255607324666368
ch11_skew,0.002547745766404535
ch08_skew,0.00254170391297299
ch11_zc,0.0025400398640661563
ch12_skew,0.00253621496812291
ch07_skew,0.0025110166215698134
ch12_zc,0.0024963320519404675
ch15_kurt,0.002489733930242989
ch06_zc,0.0024876343856075154
ch00_kurt,0.0024852022256829456
ch15_ssc,0.0024780626711859164
ch11_ssc,0.002474764255576871
ch04_ssc,0.0024718018237710553
ch09_zc,0.002464669846035398
ch14_zc,0.002462866291964028
ch00_ssc,0.0024620371691595785
ch01_zc,0.0024576755368670837
ch06_ssc,0.0024559631461576635
ch13_zc,0.0024474183327652015
ch03_kurt,0.0024450655004035595
ch09_ssc,0.0024149517642685146
ch01_ssc,0.002411271254247879
ch10_ssc,0.002391411754987021
ch05_ssc,0.0023748082357305184
ch07_ssc,0.0023633013422949935
ch13_ssc,0.0023561457365623797
ch08_ssc,0.002340141593040064
ch12_ssc,0.0023390730118056035
ch14_ssc,0.0023380471032709645
ch07_zc,0.002300135140292919
