model,normalisation,mean,std,min,max,within_subject,degradation_pts,meets_8pt_target
ExtraTrees,raw,0.5522681312923645,0.07946463738315708,0.43309002433090027,0.6750330250990753,0.8127413127413128,26.047318144894827,False
ExtraTrees,subject_norm,0.6475964382093553,0.07673722836709052,0.5012165450121655,0.7360285374554102,0.8127413127413128,16.51448745319575,False
LDA,raw,0.5505906109613923,0.08148870262271846,0.4172749391727494,0.6572199730094467,0.6491312741312741,9.854066316988186,False
LDA,subject_norm,0.6199321338887891,0.08591235218016806,0.4416058394160584,0.713436385255648,0.6491312741312741,2.9199140242485044,True
RF,raw,0.562210606698641,0.09472100623499505,0.4391727493917275,0.7110834371108343,0.7977799227799228,23.556931608128185,False
RF,subject_norm,0.6475381723057806,0.07650645337544731,0.5145985401459854,0.7521793275217933,0.7977799227799228,15.024175047414223,False
SVM,raw,0.5473936441682993,0.07781966539347349,0.43552311435523117,0.6961690885072656,0.6821911196911197,13.47974755228204,False
SVM,subject_norm,0.6213878781099154,0.0779524497187366,0.5,0.7384412153236459,0.6821911196911197,6.0803241581204315,True
