model_a,model_b,mean_a,mean_b,statistic,p_value,significant
LDA,SVM,0.60550388217986,0.7757837799865175,0.0,0.001953125,True
LDA,RF,0.60550388217986,0.8378590411747249,0.0,0.001953125,True
LDA,ExtraTrees,0.60550388217986,0.8565177606898849,0.0,0.001953125,True
SVM,RF,0.7757837799865175,0.8378590411747249,0.0,0.001953125,True
SVM,ExtraTrees,0.7757837799865175,0.8565177606898849,0.0,0.001953125,True
RF,ExtraTrees,0.8378590411747249,0.8565177606898849,0.0,0.00390625,True
