gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.5636261261261262,0.55,0.5567296996662959,1820
6,closed fist,0.814128546612623,0.7534833869239014,0.7826328973003062,1866
9,forearm supination,0.4585755813953488,0.5689810640216412,0.5078470824949698,2218
10,forearm pronation,0.5,0.4813753581661891,0.4905109489051095,2094
13,wrist flexion,0.5892857142857143,0.5663265306122449,0.5775780510879849,2156
14,wrist extension,0.5883381924198251,0.529936974789916,0.5576126001657916,1904
macro,macro avg,0.5856590268066063,0.5750172190856487,0.5788185466034096,12058
