config,model,smoothing,latency_ms,accuracy,gain_pts,macro_f1
mavrms,ExtraTrees,none,0.0,0.8559362934362934,0.0,0.8588770803547977
mavrms,ExtraTrees,vote_3,200.0,0.870777027027027,1.4840733590733568,0.8732244352463954
mavrms,ExtraTrees,proba_3,200.0,0.886703667953668,3.0767374517374546,0.8891801372158367
mavrms,ExtraTrees,vote_5,400.0,0.8869449806949807,3.100868725868733,0.8893505454019253
mavrms,ExtraTrees,proba_5,400.0,0.9057673745173745,4.983108108108114,0.9077390681528666
mavrms,ExtraTrees,vote_7,600.0,0.9051640926640927,4.922779922779929,0.9072813757592632
mavrms,ExtraTrees,proba_7,600.0,0.918918918918919,6.2982625482625565,0.9207253014451341
mavrms,ExtraTrees,vote_9,800.0,0.915661196911197,5.972490347490355,0.9173784314222134
mavrms,ExtraTrees,proba_9,800.0,0.9282094594594594,7.227316602316602,0.929758972258036
mavrms,ExtraTrees,vote_11,1000.0,0.9206081081081081,6.4671814671814705,0.9220245457424149
mavrms,ExtraTrees,proba_11,1000.0,0.9320704633204633,7.613416988416988,0.9334674003175675
mavrms,ExtraTrees,oracle_repetition,0.0,0.9875723938223938,13.163610038610042,0.9877416294762466
mavrms,HistGB,none,0.0,0.8473696911196911,0.0,0.8501704821670919
mavrms,HistGB,vote_3,200.0,0.8645028957528957,1.7133204633204668,0.866974728102635
mavrms,HistGB,proba_3,200.0,0.8765685328185329,2.9198841698841793,0.8789629452927055
mavrms,HistGB,vote_5,400.0,0.887065637065637,3.9695945945945943,0.8891703648007563
mavrms,HistGB,proba_5,400.0,0.8998552123552124,5.24855212355213,0.9017350393771627
mavrms,HistGB,vote_7,600.0,0.9076978764478765,6.03281853281854,0.9094379771021738
mavrms,HistGB,proba_7,600.0,0.9171090733590733,6.973938223938225,0.9186167964417851
mavrms,HistGB,vote_9,800.0,0.9172297297297297,6.986003861003864,0.9187026147999803
mavrms,HistGB,proba_9,800.0,0.9247104247104247,7.734073359073368,0.9261279719411973
mavrms,HistGB,vote_11,1000.0,0.9229005791505791,7.553088803088803,0.9243392464086021
mavrms,HistGB,proba_11,1000.0,0.9298986486486487,8.25289575289576,0.9311482821152831
mavrms,HistGB,oracle_repetition,0.0,0.993846525096525,14.647683397683398,0.9940408563153943
