config,model,smoothing,latency_ms,accuracy,gain_pts,macro_f1
200ms,ExtraTrees,none,0.0,0.7417482169514016,0.0,0.7451966659116626
200ms,ExtraTrees,causal_vote_3,200.0,0.7619008127384309,2.0152595787029326,0.764886818983901
200ms,ExtraTrees,causal_vote_5,400.0,0.782468070990214,4.071985403881239,0.7858239864014465
200ms,ExtraTrees,causal_vote_7,600.0,0.804611046608061,6.286282965665945,0.8079583335046809
200ms,ExtraTrees,oracle_repetition,,0.9739591972134682,23.221098026206665,0.9748356218527413
200ms,HistGB,none,0.0,0.7050920550671753,0.0,0.7091014762692303
200ms,HistGB,causal_vote_3,200.0,0.7346160225576381,2.952396749046282,0.7378225451134691
200ms,HistGB,causal_vote_5,400.0,0.7635594625974457,5.846740753027035,0.7669207774543422
200ms,HistGB,causal_vote_7,600.0,0.790678387792337,8.55863327251617,0.7939803008989107
200ms,HistGB,oracle_repetition,,0.974954387128877,26.986233206170173,0.975948292079098
