gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.796923076923077,0.8281374900079936,0.8122304978439827,1251
6,closed fist,0.952,0.926791277258567,0.9392265193370166,1284
9,forearm supination,0.7493556701030928,0.7651315789473684,0.7571614583333334,1520
10,forearm pronation,0.7243243243243244,0.7428967428967429,0.7334929866575436,1443
13,wrist flexion,0.8330965909090909,0.7904312668463612,0.8112033195020747,1484
14,wrist extension,0.7966101694915254,0.7917304747320061,0.794162826420891,1306
macro,macro avg,0.8087183052918517,0.8075198051148398,0.8079129346824736,8288
