model,in_synopsis,cv_mean,cv_std,macro_f1,canonical_acc,best_params
ExtraTrees,False,0.7420925226103562,0.027411198332140826,0.7451966659116626,0.7451274362818591,{}
RF,True,0.7212078958106612,0.023303831854862185,0.7240475607017806,0.7251374312843578,{}
SVM,True,0.5731409535490867,0.021607056578342786,0.5788185466034096,0.5732133933033483,{}
LDA,True,0.5267139182260686,0.021635778466214516,0.5347632359461725,0.5294852573713144,{}
