feature,importance
ch07_mav,0.02091220170907824
ch07_iemg,0.019787518642675826
ch07_var,0.018942212647195315
ch07_rms,0.01885111234979863
ch07_wl,0.01764960496656911
ch09_iemg,0.014994398803877517
ch09_mav,0.014679496645563861
ch09_rms,0.014420684649819437
ch14_rms,0.013952835629784659
ch09_wl,0.013444459279115119
ch08_rms,0.012961160357927857
ch13_rms,0.01276250419489567
ch13_iemg,0.012434165619545351
ch08_iemg,0.012291086308711554
ch01_iemg,0.01221213372477029
ch13_mav,0.012137974550329986
ch08_mav,0.012116234754846704
ch14_iemg,0.012034817080931008
ch04_iemg,0.01183499890476881
ch13_wl,0.011585531508434953
ch09_var,0.011444575146973364
ch14_mav,0.011416930719569833
ch02_iemg,0.011396843361352967
ch12_iemg,0.011334503761759429
ch12_mav,0.011215680733608261
ch04_wl,0.011181386362369115
ch01_mav,0.011111248695161502
ch01_rms,0.01104276047801388
ch01_var,0.010991469498121844
ch14_wl,0.010989983363865117
ch04_rms,0.010847421290043138
ch12_rms,0.010824733459736294
ch08_var,0.01078217804143786
ch04_mav,0.010753675122373659
ch02_mav,0.010725805316874393
ch02_rms,0.010669549154513727
ch08_wl,0.010313399541404039
ch04_var,0.01012935126778268
ch05_iemg,0.010017824095763303
ch02_wl,0.009862099977817847
ch01_wl,0.009844991682566894
ch11_rms,0.009832490665134521
ch12_wl,0.00967928069160856
ch13_var,0.009499540117837924
ch11_mav,0.009375786659258051
ch14_var,0.009076377931732223
ch11_iemg,0.008990655431226978
ch10_rms,0.008839499986955006
ch05_rms,0.008821136380139
ch10_mav,0.008792121891287814
ch11_wl,0.008656411422195897
ch10_wl,0.00856190343951273
ch02_var,0.008543684878680537
ch06_rms,0.00851166426430628
ch05_mav,0.008441849104746515
ch10_iemg,0.008420835482343327
ch06_mav,0.008354594530288336
ch03_mav,0.008189571037167713
ch12_var,0.008174926317678598
ch00_iemg,0.00810552080622019
ch00_wl,0.00808331351465179
ch11_var,0.008078954583252007
ch03_iemg,0.007919691196301627
ch03_rms,0.007915504468754638
ch06_wl,0.00789287955785308
ch06_iemg,0.007745956950890483
ch00_mav,0.007740115096453017
ch05_var,0.007645554585058057
ch00_rms,0.007588056899725105
ch15_wl,0.007532604383911051
ch15_iemg,0.007429629110034383
ch05_wl,0.007372434971936125
ch15_rms,0.0073331255203897125
ch03_wl,0.007292024790369586
ch06_var,0.007128083592458797
ch10_var,0.007005043416028018
ch15_mav,0.007000662089058978
ch03_var,0.006803701653702303
ch00_var,0.006705475821569399
ch15_var,0.006300261799372069
ch13_zc,0.003528249029351322
ch02_skew,0.0030363733522137514
ch04_zc,0.002982404432558547
ch12_zc,0.0029727688634237316
ch12_kurt,0.0029726979752208085
ch02_zc,0.0029666840633627792
ch01_kurt,0.0029002739705254283
ch10_skew,0.0028896643738074023
ch00_zc,0.00288198481522104
ch09_kurt,0.0028595927606280807
ch14_kurt,0.002851326858850762
ch08_zc,0.002822440265127234
ch02_kurt,0.0028124300816545393
ch05_kurt,0.002773263882647681
ch15_zc,0.0027651698897705247
ch04_skew,0.00275514497046571
ch07_zc,0.002754246773111471
ch11_zc,0.0027533294904627035
ch05_zc,0.002729240892728601
ch09_zc,0.002722820740984658
ch06_kurt,0.00270722295820249
ch07_kurt,0.0026952130274596913
ch10_zc,0.0026929410237721547
ch02_ssc,0.0026880781532519034
ch14_zc,0.002686224437848368
ch03_zc,0.0026710818803534946
ch01_skew,0.0026394066338373975
ch03_skew,0.0026305735786886137
ch11_kurt,0.0026283776285695865
ch15_skew,0.0026208279175166265
ch05_skew,0.002610192978648628
ch13_skew,0.0026044974379750723
ch08_kurt,0.0025946113518195606
ch11_skew,0.0025859761206316247
ch13_kurt,0.0025703061221841995
ch10_kurt,0.002543475524419221
ch06_zc,0.002543288122937901
ch15_ssc,0.0025337459502627617
ch04_kurt,0.002529298714319212
ch09_skew,0.0025248603632231055
ch05_ssc,0.002516428724122049
ch04_ssc,0.002513122279855334
ch14_skew,0.0025081858569784084
ch07_skew,0.002463946723547773
ch12_skew,0.0024615539254483542
ch08_skew,0.002444352009306148
ch06_ssc,0.0024440761173621893
ch14_ssc,0.002442355188780716
ch03_ssc,0.002431366944237915
ch00_skew,0.0024299159294451397
ch15_kurt,0.002419483407895879
ch01_zc,0.0024088439880093383
ch00_ssc,0.0023963695943344863
ch06_skew,0.002393976933010716
ch12_ssc,0.0023924510793711467
ch11_ssc,0.0023899423516638377
ch03_kurt,0.0023841042053687226
ch00_kurt,0.0023534531038011536
ch07_ssc,0.0023521393436668654
ch13_ssc,0.002351755302870305
ch01_ssc,0.0023454453668014285
ch10_ssc,0.0023367252001869183
ch09_ssc,0.0022902223378645477
ch08_ssc,0.0022170082381927996
