gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.6113945578231292,0.574740207833733,0.5925010300782859,1251
6,closed fist,0.8498498498498499,0.881619937694704,0.8654434250764526,1284
9,forearm supination,0.5194654270772806,0.5881578947368421,0.5516815797593335,1520
10,forearm pronation,0.49134199134199136,0.6292446292446292,0.5518079611060468,1443
13,wrist flexion,0.7666666666666667,0.6664420485175202,0.7130497476568133,1484
14,wrist extension,0.7633007600434311,0.5382848392036753,0.6313426133812303,1306
macro,macro avg,0.6670032088003914,0.646414926205184,0.6509710595096937,8288
