config,model,smoothing,latency_ms,accuracy,gain_pts,macro_f1
align_td,ExtraTrees,none,0.0,0.8350627413127413,0.0,0.8389496011990204
align_td,ExtraTrees,vote_3,200.0,0.8497828185328186,1.4720077220077288,0.8532671089517606
align_td,ExtraTrees,proba_3,200.0,0.8669160231660231,3.1853281853281845,0.8703869821215049
align_td,ExtraTrees,vote_5,400.0,0.8678812741312741,3.2818532818532864,0.8711760046582339
align_td,ExtraTrees,proba_5,400.0,0.888996138996139,5.393339768339778,0.89194002479161
align_td,ExtraTrees,vote_7,600.0,0.8827220077220077,4.765926640926644,0.8858142110242385
align_td,ExtraTrees,proba_7,600.0,0.9079391891891891,7.287644787644787,0.9103690381802224
align_td,ExtraTrees,oracle_repetition,0.0,0.9815395752895753,14.647683397683398,0.9822874618193896
align_td,HistGB,none,0.0,0.8067084942084942,0.0,0.8103464399310236
align_td,HistGB,vote_3,200.0,0.8292712355212355,2.2562741312741275,0.8323834495622361
align_td,HistGB,proba_3,200.0,0.8472490347490348,4.054054054054057,0.8505495485365923
align_td,HistGB,vote_5,400.0,0.86003861003861,5.333011583011582,0.86300677009315
align_td,HistGB,proba_5,400.0,0.8737934362934363,6.7084942084942085,0.8768010403399766
align_td,HistGB,vote_7,600.0,0.8830839768339769,7.6375482625482665,0.885891543003007
align_td,HistGB,proba_7,600.0,0.8957528957528957,8.904440154440152,0.8982849840630033
align_td,HistGB,oracle_repetition,0.0,0.982746138996139,17.603764478764482,0.9833375002229854
