gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.5648148148148148,0.5851318944844125,0.574793875147232,1251
6,closed fist,0.9113345521023766,0.7764797507788161,0.8385197645079899,1284
9,forearm supination,0.4737670514165792,0.594078947368421,0.5271453590192644,1520
10,forearm pronation,0.46995835812016656,0.5474705474705475,0.5057618437900128,1443
13,wrist flexion,0.7795608108108109,0.621967654986523,0.691904047976012,1484
14,wrist extension,0.6583850931677019,0.5681470137825421,0.6099465680230168,1306
macro,macro avg,0.6429701134054083,0.6155459681452103,0.624678576410588,8288
