feature,importance
ch07_iemg,0.019746335602244994
ch14_iemg,0.018572038662935712
ch07_mav,0.018439677601405285
ch14_mav,0.01772736875952685
ch14_rms,0.0173754934113013
ch07_wl,0.016769221434816205
ch14_wl,0.016722473023291717
ch09_rms,0.016668902449014006
ch09_wl,0.01621319305971231
ch02_mav,0.016016997288912847
ch14_var,0.015946649459958637
ch09_mav,0.015572652240044222
ch02_wl,0.015482582874684724
ch07_var,0.015161532679243826
ch09_iemg,0.01512000238582886
ch09_var,0.014611951741086244
ch07_rms,0.014536991555444242
ch02_iemg,0.01451826167032347
ch02_var,0.014400883413959726
ch02_rms,0.013981298067628295
ch13_mav,0.01299399555846533
ch04_var,0.011899032413997505
ch13_iemg,0.011758029788875014
ch13_var,0.011636366207654137
ch04_mav,0.011244481496823023
ch13_rms,0.011091729190668162
ch13_wl,0.010838700631633969
ch11_iemg,0.01074867046670199
ch11_var,0.010651530568059585
ch12_var,0.010537090880855473
ch04_rms,0.010496007573371824
ch04_iemg,0.010361586185978662
ch11_rms,0.010296710758680997
ch10_mav,0.010117049824569133
ch11_mav,0.009992667344295526
ch12_iemg,0.009958767753489008
ch12_mav,0.009862891842985931
ch04_wl,0.009739684106898567
ch10_iemg,0.009727461319827633
ch08_var,0.009723542126667553
ch12_rms,0.009632296460137607
ch06_mav,0.009465533888789578
ch11_wl,0.009411538287715146
ch08_iemg,0.009366909743997264
ch03_var,0.00936301403289709
ch10_rms,0.009260366569258605
ch03_mav,0.009204535800303438
ch03_rms,0.009170337469861274
ch05_mav,0.009160901109477941
ch12_wl,0.009147475038046436
ch05_iemg,0.009067608124157522
ch10_var,0.009033128342455283
ch06_rms,0.009013362386466436
ch01_rms,0.008986626067642686
ch06_iemg,0.008778407411398152
ch01_mav,0.008771413708077016
ch01_var,0.008758684823512108
ch03_iemg,0.008661163036295421
ch05_rms,0.00865646381301647
ch01_wl,0.00851202721370493
ch08_rms,0.008510687737136145
ch01_iemg,0.008510481834384784
ch08_mav,0.008224652069574795
ch03_wl,0.008205523236770408
ch05_wl,0.00813116505178253
ch05_var,0.008099155316416539
ch08_wl,0.00799965887645942
ch10_wl,0.007994179204426416
ch06_var,0.007636484963124701
ch06_wl,0.0075377173592915715
ch00_iemg,0.007164841827326279
ch00_var,0.007069187087690394
ch00_rms,0.006986492402257348
ch00_mav,0.006844747031619094
ch15_wl,0.006683335473024476
ch15_iemg,0.006681292407438015
ch15_mav,0.006600560026899499
ch00_wl,0.006558028848479982
ch15_rms,0.006495430785291646
ch15_var,0.006396226140634422
ch09_kurt,0.0030771032556141963
ch01_kurt,0.0029625424096433287
ch12_kurt,0.00283898233093682
ch10_skew,0.002838476269365593
ch03_skew,0.0028220794364227928
ch04_skew,0.0028219136609319313
ch14_kurt,0.002770481686415396
ch06_kurt,0.0027377761574455223
ch04_kurt,0.0027299704080883573
ch02_skew,0.0027091011971262097
ch02_kurt,0.0026920456298404737
ch13_skew,0.00267651977589517
ch05_kurt,0.0026662860809797723
ch07_kurt,0.002657110665538159
ch10_kurt,0.002591560055691842
ch08_kurt,0.002545256827772137
ch13_kurt,0.0025216528786120964
ch14_skew,0.0025149738237311204
ch06_skew,0.002489341313082575
ch01_skew,0.0024883514025846216
ch09_skew,0.002426560443765735
ch11_skew,0.002419774189978399
ch15_skew,0.0024149454416310958
ch00_skew,0.002380747931265221
ch12_skew,0.0023728797947680487
ch11_kurt,0.002353531995550596
ch08_skew,0.0023450934220261115
ch00_kurt,0.002343321660943988
ch05_skew,0.0023394126852280517
ch15_kurt,0.002278082756369946
ch07_skew,0.002223582932956828
ch03_kurt,0.0021827215468301366
ch03_zc,0.0020701077364082762
ch02_zc,0.0019145228817599184
ch15_zc,0.0018473685668154445
ch04_zc,0.0017550457332039923
ch08_zc,0.0017453538621032586
ch02_ssc,0.0017105837514616155
ch09_zc,0.0017087256434494158
ch03_ssc,0.001700490759219242
ch12_zc,0.0016782159480407373
ch11_zc,0.0016751897772887122
ch00_ssc,0.0016444230569155123
ch05_zc,0.0016260797244889561
ch00_zc,0.0016185946637081732
ch14_zc,0.0016018686052003096
ch10_zc,0.0015976737121985573
ch09_ssc,0.001570585166301021
ch10_ssc,0.001554232328010005
ch07_zc,0.0015539369435757357
ch11_ssc,0.001538076324495367
ch01_zc,0.0015361258313207748
ch08_ssc,0.0015315019944866705
ch06_zc,0.0014908075167742818
ch04_ssc,0.0014835649797009778
ch15_ssc,0.0014374339804942478
ch13_zc,0.0014177139325195947
ch01_ssc,0.0014067629685884937
ch12_ssc,0.0014064495917009525
ch05_ssc,0.0014022506003026694
ch13_ssc,0.001397338822558053
ch06_ssc,0.0013964926002009116
ch07_ssc,0.0013961667006048013
ch14_ssc,0.0013419907999697956
