gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.6203473945409429,0.5995203836930456,0.6097560975609756,1251
6,closed fist,0.8578088578088578,0.8598130841121495,0.8588098016336057,1284
9,forearm supination,0.5502544529262087,0.569078947368421,0.5595084087968952,1520
10,forearm pronation,0.5125069483046136,0.638946638946639,0.5687847008019741,1443
13,wrist flexion,0.7228915662650602,0.6873315363881402,0.7046632124352331,1484
14,wrist extension,0.695049504950495,0.5375191424196019,0.6062176165803109,1306
macro,macro avg,0.6598097874660298,0.6487016221546661,0.6512899729681657,8288
