gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.6115351993214588,0.5763389288569145,0.5934156378600823,1251
6,closed fist,0.843562874251497,0.8777258566978193,0.8603053435114504,1284
9,forearm supination,0.5173410404624278,0.5888157894736842,0.5507692307692308,1520
10,forearm pronation,0.5118457300275482,0.6437976437976438,0.5702885205647636,1443
13,wrist flexion,0.7532467532467533,0.6644204851752021,0.7060508413891873,1484
14,wrist extension,0.750816104461371,0.5283307810107197,0.6202247191011236,1306
macro,macro avg,0.6647246169618427,0.6465715808353306,0.6501757155326396,8288
