gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.6018596787827557,0.5691446842525979,0.5850451930977815,1251
6,closed fist,0.8348148148148148,0.8777258566978193,0.8557327258921792,1284
9,forearm supination,0.5192193968066233,0.5776315789473684,0.5468701339146683,1520
10,forearm pronation,0.5136186770428015,0.6403326403326404,0.5700185070943862,1443
13,wrist flexion,0.7380239520958084,0.6644204851752021,0.699290780141844,1484
14,wrist extension,0.751345532831001,0.5344563552833078,0.6246085011185682,1306
macro,macro avg,0.6598136753956342,0.6439519334481559,0.6469276402099046,8288
