gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.7998454404945904,0.8273381294964028,0.8133595284872298,1251
6,closed fist,0.9546178343949044,0.9338006230529595,0.9440944881889763,1284
9,forearm supination,0.7431659249841068,0.7690789473684211,0.755900420303912,1520
10,forearm pronation,0.7427631578947368,0.7823977823977823,0.7620654741815728,1443
13,wrist flexion,0.8545845272206304,0.8039083557951483,0.8284722222222223,1484
14,wrist extension,0.8438751000800641,0.8070444104134763,0.8250489236790607,1306
macro,macro avg,0.8231419975115055,0.820594708087365,0.8214901761771625,8288
