feature,importance
ch07_rms,0.05125324571480218
ch07_mav,0.05067244238911501
ch09_rms,0.04089416026953874
ch09_mav,0.03779802014511159
ch13_mav,0.03548928026191066
ch14_mav,0.03482268167177934
ch08_rms,0.03397792502672191
ch14_rms,0.0339044082777648
ch01_rms,0.03382027554062628
ch13_rms,0.03365422899218889
ch04_rms,0.03343300890979017
ch02_rms,0.03299164033897252
ch08_mav,0.032981420107900554
ch12_rms,0.03177115887666925
ch04_mav,0.03146530199683001
ch01_mav,0.030812555318849032
ch02_mav,0.030483953585375465
ch12_mav,0.030021869359456194
ch11_rms,0.028360540981318953
ch11_mav,0.02739651686332598
ch10_rms,0.02698894547202868
ch05_rms,0.026962204183407463
ch10_mav,0.026930021745105087
ch06_mav,0.026379087684885578
ch05_mav,0.0263485394973768
ch06_rms,0.026024353174206143
ch03_rms,0.024811257175508177
ch03_mav,0.024644128787545783
ch00_rms,0.024605959559381694
ch00_mav,0.024421037376711682
ch15_rms,0.023167264122030087
ch15_mav,0.02271256659376533
