gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.654275092936803,0.7034372501998402,0.6779661016949152,1251
6,closed fist,0.8610294117647059,0.911993769470405,0.8857791225416036,1284
9,forearm supination,0.6841339155749636,0.618421052631579,0.6496199032480995,1520
10,forearm pronation,0.6306361951822113,0.7075537075537075,0.666884389288047,1443
13,wrist flexion,0.7558620689655172,0.738544474393531,0.7471029311520109,1484
14,wrist extension,0.7649122807017544,0.667687595712098,0.7130008176614882,1306
macro,macro avg,0.7251414941876592,0.7246063083268601,0.7233922109310275,8288
