gesture,name,precision,recall,f1,support
5,open hand (finger abduction),0.82571649883811,0.8521183053557154,0.8387096774193549,1251
6,closed fist,0.968,0.942367601246106,0.9550118389897395,1284
9,forearm supination,0.7563704164077066,0.8006578947368421,0.7778843080856503,1520
10,forearm pronation,0.7685060565275909,0.7914067914067914,0.7797883236599522,1443
13,wrist flexion,0.8776249094858798,0.816711590296496,0.8460732984293193,1484
14,wrist extension,0.8638867033831629,0.8407350689127105,0.8521536670547147,1306
macro,macro avg,0.8433507641070751,0.8406662086591102,0.8416035189397885,8288
