model,in_synopsis,features,stages,trim,window,step,cv_mean,cv_std,macro_f1,canonical_acc,best_params
ExtraTrees,False,"mav,rms",none,0.15,40,20,0.8565177606898849,0.018661270998747113,0.8588770803547977,0.8634217217580821,{}
RF,True,"mav,rms",none,0.15,40,20,0.8378590411747249,0.023844442791879604,0.8403268827728567,0.839447875045405,{}
SVM,True,"mav,rms",none,0.15,40,20,0.7757837799865175,0.03518963898327404,0.7790600580278739,0.782055938975663,{}
LDA,True,"mav,rms",none,0.15,40,20,0.60550388217986,0.06151041224546392,0.6215053029564254,0.6047947693425354,{}
