feature,importance
ch07_mav,0.05839612373325738
ch07_rms,0.053720285435923346
ch09_mav,0.04366694575413275
ch14_mav,0.03937205413411862
ch09_rms,0.03899232296871416
ch02_rms,0.03565674933508877
ch13_mav,0.03525652423997486
ch08_rms,0.03473002605313475
ch02_mav,0.034566449738632835
ch01_rms,0.03340505877543037
ch01_mav,0.03301941276021454
ch04_rms,0.03300366744653365
ch14_rms,0.03297760015432945
ch13_rms,0.03276260704700259
ch08_mav,0.03255572187589542
ch04_mav,0.03209917287960687
ch12_mav,0.03169646517919474
ch12_rms,0.030310884346872194
ch11_mav,0.028999625865120914
ch11_rms,0.02878515493571991
ch03_rms,0.025186508097950443
ch10_rms,0.02477604308256606
ch05_rms,0.02453098665790858
ch05_mav,0.024186517298392284
ch10_mav,0.023850116815371348
ch03_mav,0.023388965899273865
ch06_rms,0.02228864283696439
ch15_rms,0.0220045728893778
ch00_rms,0.02196915026672323
ch00_mav,0.021578299453210627
ch06_mav,0.021354693732303833
ch15_mav,0.0209126503110595
